"ID","species","treatment","experiment","size_female_parent","size_male_parent","carcass_weight","n_eggs","average_egg_length","average_egg_width"
1,"Orb","control",1,3.877,5.029,18.18,33,2.1116,1.1856
2,"Orb","control",1,4.493,5.262,18.52,34,2.2291,1.1841
3,"Orb","control",1,4.79,5.202,19.32,6,2.211666667,1.115
4,"Orb","control",1,4.774,4.717,18.34,20,1.9645,1.1546
5,"Orb","control",1,4.907,4.884,19.02,22,2.1587,1.2285
6,"Orb","control",1,4.378,4.834,21.96,9,2.357666667,1.160333333
7,"Orb","control",1,5.52,5.631,20.49,19,2.3575,1.237
8,"Orb","control",1,5.119,4.757,21.23,27,2.4263,1.2257
9,"Orb","control",1,5.045,5.914,21.65,6,2.017333333,1.1485
10,"Orb","control",1,5.06,4.448,18.93,13,2.0983,1.1873
11,"Orb","silenced",1,5.373,5.748,18.47,34,2.3221,1.2318
12,"Orb","silenced",1,5.51,4.729,18.12,26,1.9204,1.2334
13,"Orb","silenced",1,4.87,5.203,21.4,6,2.099166667,1.2145
14,"Orb","silenced",1,4.398,5.536,18.79,14,2.1193,1.2694
15,"Orb","silenced",1,3.973,4.88,19.22,20,1.9447,1.2384
16,"Orb","silenced",1,4.793,5.906,18.53,32,2.2671,1.1961
17,"Orb","silenced",1,4.719,5.532,18.26,27,2.2623,1.2845
18,"Orb","silenced",1,4.704,5.782,22.17,15,2.3982,1.2066
19,"Orb","silenced",2,4.174,4.92,19.41,26,2.1759,1.1862
20,"Orb","silenced",2,4.517,4.058,21.57,30,2.235,1.1988
21,"Orb","control",2,5.672,3.683,21.18,32,2.1927,1.2249
22,"Orb","silenced",2,5.79,4.531,19.84,28,2.1382,1.1303
23,"Orb","control",2,5.122,5.511,18.94,32,1.9823,1.139
24,"Orb","control",2,5.184,4.291,20.02,31,2.148,1.167
25,"Orb","silenced",2,4.368,5.159,22.98,28,2.1122,1.1478
26,"Orb","silenced",2,5.318,4.704,19.5,25,2.1853,1.1875
27,"Orb","control",2,5.11,5.235,22.78,30,2.1014,1.1715
28,"Orb","silenced",2,5.312,4.19,20.08,28,2.2649,1.1867
29,"Orb","silenced",2,5.679,5.213,19.87,20,2.2913,1.1968
30,"Orb","control",2,4.928,5.08,21.86,16,2.2282,1.2209
31,"Orb","silenced",2,5.217,4.827,20.53,38,2.2248,1.2174
32,"Orb","control",2,5.511,5.819,18.22,13,2.1639,1.1775
33,"Orb","silenced",2,5.232,4.368,23.38,29,2.148,1.1462
34,"Orb","control",2,5.72,4.94,19.75,22,2.2188,1.1903
35,"Orb","silenced",2,4.98,5.001,20.27,27,2.2243,1.2075
36,"Orb","silenced",2,4.253,4.413,19.24,20,2.1539,1.1711
37,"Orb","control",2,5.866,3.919,18.15,23,2.1405,1.1901
38,"Orb","silenced",2,5.926,4.428,21.16,31,2.1117,1.1438
39,"Orb","silenced",2,5.487,5.019,20.83,33,2.0798,1.1522
40,"Orb","control",2,4.953,4.982,22.84,27,2.1314,1.1685
41,"Pus","control",1,4.767,4.781,18.47,56,1.9899,1.0315
42,"Pus","control",1,4.493,3.213,21.82,81,2.1093,1.0287
43,"Pus","control",1,4.389,4.527,18.21,77,1.9042,0.9726
44,"Pus","control",1,4.662,4.655,18.96,51,2.0187,1.0503
45,"Pus","control",1,4.996,5.126,18.72,65,2.1015,1.1033
46,"Pus","control",1,4.671,3.876,19.89,44,2.3177,1.0435
47,"Pus","control",1,4.646,4.805,20.02,49,2.0523,1.0679
48,"Pus","control",1,4.991,4.549,21.44,39,2.0019,1.0768
49,"Pus","control",1,4.629,4.959,21.5,47,1.9593,1.0633
50,"Pus","control",1,4.5,4.899,20.26,64,1.9771,1.0312
51,"Pus","silenced",1,4.905,3.934,20.19,62,2.0007,1.0849
52,"Pus","silenced",1,4.716,4.196,21.24,74,1.9406,0.9927
53,"Pus","silenced",1,4.648,4.81,19.16,35,2.2486,0.9955
54,"Pus","silenced",1,5.341,4.936,19.32,104,2.0948,1.0754
55,"Pus","silenced",1,4.126,4.265,21.76,66,2.0154,1.034
56,"Pus","silenced",1,4.051,4.48,21.67,68,1.9267,1.0024
57,"Pus","control",2,3.828,4.286,20.21,49,1.9222,1.0407
58,"Pus","silenced",2,4.478,4.45,21.57,55,1.8825,1.031
59,"Pus","silenced",2,4.616,4.639,19.49,68,1.8891,1.0288
60,"Pus","control",2,4.486,3.772,20.35,70,1.9792,1.0269
61,"Pus","silenced",2,4.123,4.434,19.32,47,1.9218,1.0626
62,"Pus","control",2,3.78,4.22,19.04,81,1.9131,1.0095
63,"Pus","silenced",2,5.017,4.789,19.29,35,1.866,1.0069
64,"Pus","control",2,4.731,4.056,19.44,49,1.8341,1.0021
65,"Pus","silenced",2,4.184,4.172,19.07,41,1.9633,1.0157
66,"Pus","silenced",2,4.326,4.438,19.6,53,1.8495,1.0126
67,"Pus","control",2,4.436,4.408,19.14,56,1.9564,1.0317
68,"Pus","control",2,4.479,4.438,21.26,53,1.8096,0.9851
69,"Pus","silenced",2,4.734,4.61,20.67,96,1.8581,1.0067
70,"Pus","silenced",2,4.865,3.932,20.84,63,1.9034,1.0263
71,"Pus","control",2,4.014,4.098,19.99,59,1.8546,1.0452
72,"Pus","silenced",2,5.162,3.802,21.55,38,1.8268,1.0619
73,"Pus","silenced",2,4.973,4.392,18.97,76,1.9568,1.0391
74,"Pus","control",2,3.775,3.638,19.82,56,1.8438,1.03
75,"Pus","silenced",2,4.974,4.225,20.34,47,1.9715,1.0137
76,"Pus","silenced",2,4.04,4.252,21.86,76,1.8551,1.0317
77,"Pus","control",2,5.244,3.842,21.41,55,1.8236,0.9677
78,"Pus","silenced",2,4.665,4.229,20.66,61,1.8643,1.0227
79,"Pus","silenced",2,4.28,3.633,19.58,67,1.8624,1.0321
